run_utc,us_date,ticker,verdict,drop_reason,cluster,anchor_delta,spot,spot_src,sma20,sma_margin,width,expiry,dte,short,act_delta,iv,hv,ivhv,bid,ask,oi,flags
2026-08-23T07:14:01Z,2026-08-23,ANET,passed,,Unclustered,0.15,188.6500,live,187.9825,0.003551,10.00,2026-09-11,19,170.00,0.1650,0.508550,0.557988,0.9114,1.9200,2.5600,138,"knife,inv,gap19d,unclus,oi138,ba"
2026-08-23T07:14:01Z,2026-08-23,JNJ,passed,,Defensive/financial,0.15,270.2400,live,262.1465,0.030874,15.00,2026-09-11,19,255.00,0.1422,0.253425,0.231991,1.0924,0.4800,1.3500,106,"gap39d,nofb,oi106,ba"
2026-08-23T07:14:01Z,2026-08-23,LLY,passed,,Defensive/financial,0.15,1255.4000,live,1198.1000,0.047826,60.00,2026-09-11,19,1155.00,0.1475,0.373206,0.360586,1.0350,5.1000,9.5500,32,"gap18d,oi32,ba"
2026-08-23T07:14:01Z,2026-08-23,MSFT,passed,,Mega-cap platform,0.15,483.2400,live,473.0920,0.021450,25.00,2026-09-11,19,455.00,0.1612,0.285835,0.499365,0.5724,2.4800,3.1500,606,"inv,gap25d,nofb,ba"
2026-08-23T07:14:01Z,2026-08-23,PLTR,passed,,High-beta,0.15,179.9400,live,157.2745,0.144114,10.00,2026-09-11,19,162.50,0.1622,0.491094,0.903950,0.5433,1.9000,2.0200,114,"inv,gap20d,oi114"
2026-08-23T07:14:01Z,2026-08-23,TSLA,passed,,High-beta,0.15,362.8600,live,328.1420,0.105802,20.00,2026-09-11,19,330.00,0.1450,0.421331,0.586120,0.7188,2.8600,3.0500,440,"inv,gap32d,oi440"
2026-08-23T07:14:01Z,2026-08-23,TSM,passed,,Semis,0.20,418.9500,live,413.3545,0.013537,20.00,2026-09-11,19,390.00,0.1715,0.356330,0.391673,0.9098,3.0500,3.6500,749,"prov,inv,gap38d,fb0.18,cap0.20,ba"
2026-08-23T07:14:01Z,2026-08-23,V,passed,,Defensive/financial,0.15,371.0400,live,365.2790,0.015772,20.00,2026-09-11,19,355.00,0.1784,0.226936,0.193083,1.1753,1.3600,2.1900,135,"prov,gap26d,fb0.20,oi135,ba"
2026-08-23T07:14:01Z,2026-08-23,AAPL,dropped,trend,Mega-cap platform,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,AMD,dropped,trend,Semis,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,AMZN,dropped,trend,Mega-cap platform,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,AVGO,dropped,trend,Semis,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,CRWD,dropped,trend,Security,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,GOOGL,dropped,trend,Mega-cap platform,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,JPM,dropped,trend,Defensive/financial,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,META,dropped,trend,Mega-cap platform,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,PANW,dropped,trend,Security,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,NVDA,dropped,earnings:2026-08-26,Semis,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,QQQ,dropped,earnings:macro: CPI,Index,,,,,,,,,,,,,,,,,
2026-08-23T07:14:01Z,2026-08-23,SPY,dropped,earnings:macro: CPI,Index,,,,,,,,,,,,,,,,,
